costo,nombre,precio_venta,referencia_interna,unidad_medida,categoria_producto,archivo_imagen,imagen_url
140.0,12V 500W INVERSOR ONDA MODIFICADA OPALUX,170.0,,Unidades,INVERSORES,12V_500W_INVERSOR_ONDA_MODIFICADA_OPALUX.jpg,http://localhost:3000/uploads/12V_500W_INVERSOR_ONDA_MODIFICADA_OPALUX.jpg
372.4,12V 65AH   BATERIA AGM RITAR,560.0,RT 12-650,Unidades,BATERIAS,RT_12-650.jpg,http://localhost:3000/uploads/RT_12-650.jpg
0.0,12V 7A  BATERIA,70.0,,Unidades,INCENDIO,12V_7A_BATERIA.jpg,http://localhost:3000/uploads/12V_7A_BATERIA.jpg
48.0,12V 7AH BATERIA AGM  RITAR,65.0,RT 12-7,Unidades,BATERIAS,RT_12-7.jpg,http://localhost:3000/uploads/RT_12-7.jpg
0.0,12V-100AH BATERIA DE LITHIO RITAR,1300.0,(1080W - 1KW/,Unidades,BATERIAS,_1080W_-_1KW_.jpg,http://localhost:3000/uploads/_1080W_-_1KW_.jpg
642.0,12V-100AH BATERIA GEL IWIN,650.0,12V-100AH,Unidades,BATERIAS,12V-100AH.jpg,http://localhost:3000/uploads/12V-100AH.jpg
902.0,12V-150AH RITAR AGM,1130.0,RA12-150 AGM,Unidades,BATERIAS,RA12-150_AGM.jpg,http://localhost:3000/uploads/RA12-150_AGM.jpg
340.0,12V-40AH  BATERIA AGM RITAR,380.0,RA12-40,Unidades,BATERIAS,RA12-40.jpg,http://localhost:3000/uploads/RA12-40.jpg
1285.5,12V/1200 VA INVERSOR VICTRON PHOENIX,2056.0,,Unidades,INVERSORES,12V_1200_VA_INVERSOR_VICTRON_PHOENIX.jpg,http://localhost:3000/uploads/12V_1200_VA_INVERSOR_VICTRON_PHOENIX.jpg
0.0,150/100 TR SMART SOLAR VICTRON ENERGY,2200.0,,Unidades,CONTROLADORES,150_100_TR_SMART_SOLAR_VICTRON_ENERGY.jpg,http://localhost:3000/uploads/150_100_TR_SMART_SOLAR_VICTRON_ENERGY.jpg
1784.0,150/100-Tr  MPPT BLUESOLAR,2700.0,MPPT 150/100,Unidades,CONTROLADORES,MPPT_150_100.jpg,http://localhost:3000/uploads/MPPT_150_100.jpg
0.0,150/45 MPPT BLUSOLAR,1300.0,,Unidades,ALARMA RISCO,150_45_MPPT_BLUSOLAR.jpg,http://localhost:3000/uploads/150_45_MPPT_BLUSOLAR.jpg
1173.0,150/70- TR  MPPT SMART SOLAR  VICTRON ENERGY,1650.0,(TIENDA SOLAR SIN STOCK),Unidades,CONTROLADORES,_TIENDA_SOLAR_SIN_STOCK_.jpg,http://localhost:3000/uploads/_TIENDA_SOLAR_SIN_STOCK_.jpg
0.0,150/70-Tr MPPT BLUESOLAR,1800.0,E. INNOVADORA,Unidades,CONTROLADORES,E._INNOVADORA.jpg,http://localhost:3000/uploads/E._INNOVADORA.jpg
3615.0,150/85-Tr  MPPT SMARTSOLAR,2399.0,TIENDA SOLAR SIN SOTCK,Unidades,CONTROLADORES,TIENDA_SOLAR_SIN_SOTCK.jpg,http://localhost:3000/uploads/TIENDA_SOLAR_SIN_SOTCK.jpg
0.0,"185W PANEL SOLAR INTIPOWER 18,90V 9,78A",360.0,,Unidades,PANELES,185W_PANEL_SOLAR_INTIPOWER_18_90V_9_78A.jpg,http://localhost:3000/uploads/185W_PANEL_SOLAR_INTIPOWER_18_90V_9_78A.jpg
